,2015,2016,2017,2018,2019,2020
rice,0.41580872572492594,0.38838082637899335,0.4178733294596158,0.4350266103872265,0.4836810086404488,0.575004191114837
bread,2.484706038840115,2.436033991451247,2.593960875460013,2.6002633510735955,2.634470111091528,2.851797988264879
buns_biscuits,2.2588800212822524,2.249341542845521,2.351282200271172,2.3597770938916187,2.4644551225533533,2.5352891869237273
pasta,0.39416068103218793,0.4207917769183785,0.4229285299244604,0.43311066250688024,0.4321671662846055,0.5519195305951389
cakes_puddings,1.4931524341580182,1.4947089354773049,1.6192988572535352,1.5976518627271048,1.633638688062075,1.4481768650461007
pastry,0.8539345570630472,0.8260350091593706,0.9110749564206866,0.9360203707102196,0.9376097690001777,0.8934744341994972
other_bread_cereal,2.3368794892258644,2.313116222267459,2.4068409839240754,2.4451734263167646,2.506731616998775,2.844119865884324
beef,1.9893229582335739,2.0273671890901697,2.09989928336239,2.083110662506888,1.8782913066478562,2.338365465213747
pork,0.6432681564245805,0.5801211072664356,0.6113248111563031,0.5831941640668,0.5128257802856635,0.6392665549036043
lamb,0.6499401436552267,0.6007948300427435,0.588209374394731,0.5255083501559905,0.5780338564627046,0.5831852472757756
poultry,2.1932375631817,2.232642987991055,2.3336480728258815,2.273793356579196,2.2799400458472987,2.5256580050293356
sausages,0.886558925246074,0.8363057195196373,0.8921654077086956,0.930294549458614,0.9009239992946559,0.8800419111483665
bacon_ham,0.9566201117318414,0.9011449216364738,0.9350997482084049,0.8874610020187158,0.8486766002468656,0.8711609388097244
offal_pate,0.10101489757914353,0.10191023814370043,0.10074956420685663,0.109187006790237,0.10973637806383367,0.1003981559094719
processed_meat,5.205955041234377,5.251181559128842,5.4759907030796136,5.595066984767836,5.667421089754876,5.909459346186084
meat,0.011904761904761902,0.027299002646041116,0.015910323455355414,0.02158377683978712,0.014783988714512432,0.008776194467728416
fish,0.8591606810321872,0.8518430694076914,0.9383681967848142,0.9793815378968618,0.9411611708693344,1.1166261525565795
seafood,0.34861532322426186,0.3100101770812129,0.3222680612047257,0.32265736832446246,0.3332260624228527,0.3556244761106456
preserved_seafood,0.3202540569300344,0.31832179930795795,0.33622022080185876,0.33363644705450446,0.32019485099629663,0.3418650461022632
processed_fish,1.1831471135940372,1.2002534093222064,1.2850842533410824,1.302988621765462,1.3470587198025044,1.5934744341994955
whole_milk,0.4099893588720404,0.3905271728068386,0.41877590548130816,0.4578454762341714,0.42953711867395516,0.45275356244761145
low_milk,1.489465283320033,1.545470181152041,1.5345245012589481,1.5596265369792754,1.4950969846588011,1.549077954735958
preserved_milk,0.2921880819366853,0.24016385100753118,0.24721286073987986,0.2547137089374195,0.20713542585082004,0.2560561609388097
yoghurt,1.1307063048683121,1.1761255851821675,1.211339337594425,1.1808102404110876,1.1863031211426567,1.2816219614417441
cheese,1.939140728917262,1.9791939751679242,1.9986393569630079,2.045369792622511,2.0873867042849725,2.265670578373842
other_milk,0.986577547220005,1.0043873397109697,1.1214448963780748,1.1211002018719027,1.1244806912361123,1.1615842414082136
eggs,0.6719566374035637,0.6912375330755144,0.703003098973466,0.7421352541750784,0.7214459530946906,0.8367351215423314
butter,0.47873636605480163,0.43982597191125433,0.4620579120666268,0.5215039456781033,0.48156409804267064,0.5096353730092209
margarine,0.402153498270816,0.4223987380419289,0.512657369746271,0.5555854285189921,0.5664759301710438,0.5864543168482821
peanut_butter,0.051327480712955585,0.06697944229594945,0.06732519852798761,0.07395393650211053,0.0671142655616294,0.09756496227996642
olive_oil,0.13456238361266312,0.13331263993486678,0.1468032151849701,0.1557432556432375,0.13970375595133136,0.18830678960603514
oils,0.15583798882681602,0.16357215550580131,0.15945186906837122,0.15068452927142587,0.15356198201375396,0.2131307627829001
animal_fats,0.024304336259643487,0.020462039487075097,0.027125702111175674,0.023212516057992284,0.024572385822606246,0.021119027661357925
citrus_fruit,0.5077573822825207,0.6010950539385308,0.6250358318806878,0.6328399706368147,0.5852204196790693,0.7738851634534792
bananas,0.4596834264432026,0.4661204966415649,0.4937255471625025,0.5212846393833733,0.5206929994709928,0.5786001676445941
apples,0.5560720936419249,0.5761143903928349,0.5716637613790425,0.5849669664158544,0.5528813260447876,0.6660184409052806
pears,0.13524740622505999,0.15669143089761833,0.1552314545806703,0.15918241879243897,0.13342003174043404,0.17836546521374685
stone_fruits,0.5970457568502253,0.5312243028699353,0.5794489637807462,0.5908799779776094,0.5679518603420898,0.5413788767812241
berries,1.440859271082734,1.4880266639527755,1.5598828200658537,1.5900798311616813,1.5658014459530962,1.5635247275775317
fruits,0.3913806863527531,0.44667921840016245,0.4561524307573108,0.4808414387961083,0.46003526714864923,0.5077116512992458
dried_fruit_nuts,0.7533107209364164,0.7992346834927717,0.8527977919814014,0.8345136722334348,0.8060068770939846,0.9916512992455999
preserved_fruit,0.1526509710029265,0.15444738449012835,0.14697269029633914,0.1524830244081483,0.16236554399576802,0.16830678960603532
fresh_veg,0.9602859803139088,0.9192173824547123,0.9477338756536868,0.9628463938337328,0.9121892082525159,1.0202053646269897
cabbage,0.35352886405959005,0.3730724608182372,0.39031473949254186,0.39846302073774953,0.3856665491095049,0.5115884325230514
veg,1.4376789039638187,1.3826124567474043,1.4613790431919462,1.523794274178753,1.485380885205431,1.691684828164289
root_veg,1.4161372705506752,1.3695684917565696,1.4153834979663016,1.4088695173426373,1.4023002997707645,1.7297443419949703
dried_veg,0.05390662410215483,0.05702523916140851,0.05859577764865387,0.05460359699027346,0.04933080585434668,0.08386420787929594
preserved_veg,1.4892418196328814,1.5084337472012994,1.6214381173736236,1.701911359882552,1.7821266090636596,2.2478457669740117
potatoes,0.863335993615321,0.8348921229391366,0.8165407708696445,0.7711323178564834,0.7363815905484025,0.7945725062866713
tuber_veg,1.6179901569566333,1.6191410543456126,1.6877116017819103,1.766717746375492,1.8181220243343357,1.8647108130762722
sugar,0.2090609204575688,0.21219926725015317,0.2068680999418942,0.20188199669664222,0.19880797037559628,0.2270913663034365
jam,0.30027400904495866,0.3094901282312223,0.3252740654658134,0.2995889153973204,0.31986333979897674,0.3418985750209557
chocolate,1.837805267358335,2.0209261143903983,2.10362773581251,2.244684345751516,2.2664150943396293,2.118927074601843
confectionary,0.8042577813248174,0.78461530633014,0.8012734844082853,0.8073830060561527,0.8339516840063433,0.716818943839062
ice_cream,0.6682575152966205,0.6105648280073257,0.6786800309897318,0.7398752064598983,0.7502080761770399,0.5795347862531436
sugar_prod,0.15488959829741958,0.15971809485039715,0.17804958357544068,0.1669774270508351,0.16897901604655297,0.23362531433361286
sauces,1.229135408353284,1.2341573376755512,1.2241119504164253,1.2435364287025148,1.2515006171751009,1.4792162615255646
condiments,0.19232109603618036,0.21194992876043178,0.22318806895215967,0.247792255459717,0.24597778169634957,0.29795892707460186
misc,1.009584996009571,1.0333616464951687,1.0928636451675378,1.0775913011561742,1.0542285311232575,1.3322338642078788
other_food,0.05302474062250599,0.07896608683398838,0.049195235328297525,0.086282804184254,0.06507406101216719,0.04085917854149203
